Заголовок,ссылка,Цена,Адрес,Дата,comment
"2-комнатная квартира, 118 м², 12/13 этажВсе заметкиУдалить",https://krisha.kz//a/show/663601594,28 500 000〒,"Алатауский р-н, Сайна 481 в — Райымбека",Алматы29 нояб.,"В залоге, жил. комплекс Эталон (На Райымбека), монолитный дом, 2009 г.п., состояние: хорошее, потолки 2.8м., санузел 2 с/у и более, пустая"
"2-комнатная квартира, 69 м², 8/9 этажВсе заметкиУдалить",https://krisha.kz//a/show/662317421,23 000 000〒,"Алатауский р-н, Аккент, Райымбека 41",Алматы28 нояб.,"жил. комплекс АкКент, монолитный дом, 2010 г.п., состояние: евроремонт, санузел совмещенный, интернет ADSL, полностью меблирована, Агентство недвижимости ""Apartamenty Almaty"" предлагают продажу квартиры в жилом комплексе ""Аккент"". Квартира чистая, уютная, продается полно…"
"2-комнатная квартира, 60 м², 9/12 этажВсе заметкиУдалить",https://krisha.kz//a/show/663512717,23 300 000〒,"Алатауский р-н, 1-я улица",Алматы29 нояб.,"жил. комплекс Алмалы, монолитный дом, 2017 г.п., состояние: евроремонт, потолки 2.79м., санузел раздельный, полностью меблирована, Представленная Вашему вниманию квартиру, которая расположена в одном из самых уютных городских районов, жители которого по праву гордятся своим благоустройством. Дом…"
"2-комнатная квартира, 54.8 м², 4/12 этажВсе заметкиУдалить",https://krisha.kz//a/show/663613985,17 500 000〒,"Алатауский р-н, 3-я ул 33/1",Алматы29 нояб.,"жил. комплекс Alatau City, монолитный дом, 2021 г.п., состояние: черновая отделка, потолки 2.8м., Предчистовая отделка, сдача февраль 2021 года. 25 пятно"
"2-комнатная квартира, 60 м², 10/10 этажВсе заметкиУдалить",https://krisha.kz//a/show/663596083,18 500 000〒,"Алатауский р-н, Райымбека(Ташкентская) — Аксай (Алгабас)",Алматы29 нояб.,"жил. комплекс АкКент, монолитный дом, 2015 г.п., состояние: евроремонт, потолки 4.3м., санузел совмещенный, телефон: отдельный, интернет ADSL, частично меблирована, (№ BDQ-8 - 19044) НЕ в ИПОТЕКУ, ТОЛЬКО НАЛИЧНЫЙ РАСЧЕТ Продается уютная двухуровневая (на 2-м уровне над кухней-7, 4кв. м., над спальн…"
"2-комнатная квартира, 64.5 м², 1/12 этажВсе заметкиУдалить",https://krisha.kz//a/show/663562771,23 000 000〒,"Алатауский р-н, мкр Нуркент (Алгабас-1), Нуркент — проспект Рыскулова, ул. Момышулы",Алматы29 нояб.,"жил. комплекс Нуркент, монолитный дом, 2015 г.п., состояние: евроремонт, жил. площадь 38.1 кв.м., кухня 11 кв.м., потолки 2.7м., санузел 2 с/у и более, интернет оптика, полностью меблирована, Срочно! 2-х комнатная квартира. Улучшенная, комнаты изолированы, встроенная кухня, Электроплита и духовка…"
"2-комнатная квартира, 58 м², 9/12 этажВсе заметкиУдалить",https://krisha.kz//a/show/660848701,25 000 000〒,"Алатауский р-н, мкр Акбулак, 1-я улица 43/2",Алматы29 нояб.,"жил. комплекс Алмалы, монолитный дом, 2017 г.п., состояние: евроремонт, полностью меблирована, Вид на Алматы Арена, лоджия застеклена, дверь входная усилена, имеется кладовка. Возможна ипотека, в залоге не состоит. ЖК «Алмалы» в Алматы находится возле улицы Бауыржана Момышулы в новом спальном рай…"
"2-комнатная квартира, 42.2 м², 1/2 этажВсе заметкиУдалить",https://krisha.kz//a/show/47655086,11 222 999〒,"Алатауский р-н, мкр Айгерим-1 30 — Василия Бенберина",Алматы29 нояб.,"В залоге, кирпичный дом, 1960 г.п., состояние: хорошее, жил. площадь 28.1 кв.м., кухня 7.3 кв.м., потолки 2.7м., санузел совмещенный, телефон: есть возможность подключения, интернет ADSL, частично меблирована, Продаю 2х комнатную квартиру. Если вы ищете уютную квартиру в тихом районе, то это для ва…"
"2-комнатная квартира, 60 м², 4/5 этажВсе заметкиУдалить",https://krisha.kz//a/show/663481477,17 500 000〒,"Алатауский р-н, мкр Зердели (Алгабас-6), Мкр Зердели (Алгабас-6) 1/25 — Момышулы",Алматы29 нояб.,"монолитный дом, 2012 г.п., состояние: хорошее, жил. площадь 35 кв.м., кухня 12 кв.м., потолки 3м., санузел раздельный, телефон: отдельный, частично меблирована, САМАЯ ВЫГОДНАЯ КВАРТИРА по отношению Цены-планировки-этажности! Срочная продажа! Звоните!"
"2-комнатная квартира, 58 м², 5/12 этажВсе заметкиУдалить",https://krisha.kz//a/show/663475348,22 500 000〒,"Алатауский р-н, мкр Акбулак, 1-я улица 115",Алматы29 нояб.,"жил. комплекс Алмалы, монолитный дом, 2020 г.п., состояние: евроремонт, санузел 2 с/у и более, Шикарный вариант - звоните!"
