Заголовок,ссылка,Цена,Адрес,Дата,comment
"4-комнатная квартира, 88 м², 3/3 этажВсе заметкиУдалить",https://krisha.kz//a/show/663019133,49 000 000〒,"Алмалинский р-н, Абая 53/51 — Чайковского",Алматы29 нояб.,"кирпичный дом, 1960 г.п., состояние: требует ремонта, потолки 3.5м., санузел раздельный, телефон: отдельный, интернет через TV кабель, пустая, Ведомственный дом ЦК. Огорожен. Парковка"
"4-комнатная квартира, 114 м², 1/3 этажВсе заметкиУдалить",https://krisha.kz//a/show/660932094,65 000 000〒,"Алмалинский р-н, Абая 51/53 — Чайковского",Алматы29 нояб.,"кирпичный дом, 1960 г.п., состояние: среднее, санузел раздельный, телефон: отдельный, интернет через TV кабель, частично меблирована, Дом ЦК"
"4-комнатная квартира, 137 м², 4/12 этажВсе заметкиУдалить",https://krisha.kz//a/show/662600363,65 000 000〒,"Алмалинский р-н, Мауленова 111 — Шевченко",Алматы29 нояб.,"жил. комплекс Жастар Атамекен, монолитный дом, 2007 г.п., состояние: хорошее, жил. площадь 90 кв.м., санузел 2 с/у и более, телефон: отдельный, интернет через TV кабель, частично меблирована"
"4-комнатная квартира, 120 м², 10/13 этажВсе заметкиУдалить",https://krisha.kz//a/show/53516363,43 400 000〒,"Алмалинский р-н, Макатаева 131 — Муратбаева",Алматы29 нояб.,"жил. комплекс Atlant, монолитный дом, 2019 г.п., потолки 2.7м., санузел 2 с/у и более, Жилой комплекс ATLANT — превосходные перспективы жизни для молодых семей. Доступные цены на жилье, активное развитие инфраструктуры Жилой комплекс ATLANT — один из самых крупных проектов компании — располо…"
"4-комнатная квартира, 97 м², 8/9 этажВсе заметкиУдалить",https://krisha.kz//a/show/663610024,40 500 000〒,"Алмалинский р-н, улица Аносова 133 — Шакарима",Алматы29 нояб.,"панельный дом, 1991 г.п., состояние: евроремонт, потолки 2.9м., санузел раздельный, частично меблирована, СРОЧНО. Чистая ютная тёплая светлая квартира. Встроенный большой гардероб. Комнаты большие. Окна север-юг. Новый лифт 2020 Детская спортивная площадка новые 2020 года. Тихий двор. Из меб…"
"4-комнатная квартира, 152 м², 5/12 этажВсе заметкиУдалить",https://krisha.kz//a/show/662786728,63 000 000〒,"Алмалинский р-н, Варламова 33а",Алматы29 нояб.,"В залоге, жил. комплекс Жагалау - 46 квартал, монолитный дом, 2012 г.п., состояние: хорошее, жил. площадь 82 кв.м., кухня 22 кв.м., потолки 3м., санузел 2 с/у и более, Пластиковые окна, неугловая, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, кладовка, счётчики, тихий д…"
"4-комнатная квартира, 152 м², 5/12 этажВсе заметкиУдалить",https://krisha.kz//a/show/661799186,63 000 000〒,"Алмалинский р-н, Варламова",Алматы29 нояб.,"жил. комплекс Жагалау - 46 квартал, монолитный дом, 2012 г.п., состояние: евроремонт, жил. площадь 87.2 кв.м., кухня 21 кв.м., потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет через TV кабель, частично меблирована, Пластиковые окна, неугловая, улучшенная, комнаты изолированы, встрое…"
"4-комнатная квартира, 85 м², 9/9 этажВсе заметкиУдалить",https://krisha.kz//a/show/663519681,37 000 000〒,"Алмалинский р-н, Айманова 192 — Толе би",Алматы29 нояб.,"панельный дом, 1986 г.п., состояние: хорошее, жил. площадь 52 кв.м., кухня 9 кв.м., потолки 2.85м., санузел раздельный, телефон: отдельный, интернет ADSL, частично меблирована, Красивый ухоженный двор, своё место для авто, не угловая, в шаговой доступности многопрофильная гимназия 79, парк ганди…"
"4-комнатная квартира, 84 м², 1/5 этажВсе заметкиУдалить",https://krisha.kz//a/show/54924521,36 000 000〒,"Алмалинский р-н, Курмангазы 177 — Гагарина",Алматы28 нояб.,"панельный дом, 1994 г.п., состояние: хорошее, жил. площадь 53 кв.м., кухня 11 кв.м., потолки 2.8м., санузел 2 с/у и более, телефон: отдельный, интернет оптика, частично меблирована, Пластиковые окна, не угловая, улучшенная, комнаты изолированы, встроенная кухня, кладовка, счётчики, тихий дво…"
"4-комнатная квартира, 75 м², 3/5 этажВсе заметкиУдалить",https://krisha.kz//a/show/663433967,30 000 000〒,"Алмалинский р-н, Назарбаева — Маметовой",Алматы29 нояб.,"панельный дом, 1975 г.п., жил. площадь 50 кв.м., кухня 8.5 кв.м., частично меблирована, Здесь Удобно Жить • Отличная Планировка — все комнаты изолированные, каждая со своим отдельным входом. Окна выходят на две стороны — юг и север. Есть балкон. Теплая — располагается посередине. Третий этаж! • В…"
