Заголовок,ссылка,Цена,Адрес,Дата,comment
"2-комнатная квартира, 62.6 м²Все заметкиУдалить",https://krisha.kz//a/show/663372856,от 15 024 000〒,"Турксибский р-н, мкр Альмерек, мкр. Гульдер 1160",Алматы29 нояб.,"жил. комплекс Gres Park, 3 этажа, 2021 г.п., жил. площадь 36.7 кв.м., кухня 11.4 кв.м., потолки 2.75м., санузел совмещенный, Современный жилой комплекс Gres Park – дома малой этажности с квартирами комфорт-класса практичной планировки. Комплекс расположен в зеленой зоне в микрорайоне Гульдер (бл…"
"2-комнатная квартира, 44.4 м²Все заметкиУдалить",https://krisha.kz//a/show/663372854,от 10 656 000〒,"Турксибский р-н, мкр Альмерек, мкр. Гульдер 1160",Алматы29 нояб.,"жил. комплекс Gres Park, 3 этажа, 2021 г.п., жил. площадь 12.9 кв.м., кухня 17.8 кв.м., потолки 2.75м., санузел совмещенный, Современный жилой комплекс Gres Park – дома малой этажности с квартирами комфорт-класса практичной планировки. Комплекс расположен в зеленой зоне в микрорайоне Гульдер (бл…"
"2-комнатная квартира, 57.73 м²Все заметкиУдалить",https://krisha.kz//a/show/662335913,от 14 432 500〒,"Турксибский р-н, Котельникова 8/1ИпотекаИпотекаКвартиры, которые можноприобрести в ипотекуот банков и по гос.программам",Алматы29 нояб.,"жил. комплекс Котельникова, 5 этажей, 2021 г.п., жил. площадь 34.6 кв.м., кухня 7.2 кв.м., потолки 2.8м., санузел совмещенный, Преимущества:✅Озеленение территории✅Игровые детские площадки✅Зоны для отдыха"
"2-комнатная квартира, 57 м², 3/5 этажВсе заметкиУдалить",https://krisha.kz//a/show/663302145,18 500 000〒,"Турксибский р-н, мкр Жулдыз-2, Мкр Жулдыз-2 27А",Алматы29 нояб.,"монолитный дом, 1988 г.п., состояние: требует ремонта, жил. площадь 32 кв.м., кухня 9 кв.м., потолки 2.7м., санузел раздельный, телефон: отдельный, Продажа от хозяина квартиры. В риэлторских услугах не нуждаюсь. Квартира находится в спальном районе. Тихий ухоженный двор, с новой детской площадк…"
"2-комнатная квартира, 62.8 м²Все заметкиУдалить",https://krisha.kz//a/show/55884879,от 14 000 000〒,"Турксибский р-н, 100-я улица 542",Алматы29 нояб.,"жил. комплекс Жана Куат (КГ), 2 этажа, 2020 г.п., потолки 2.6м., санузел совмещенный, В данном объекте нет возможности приобретения в ипотеку! Преимущества: ✅5 детских садов✅Две детские площадки✅Ра…"
"2-комнатная квартира, 58.2 м²Все заметкиУдалить",https://krisha.kz//a/show/662471079,от 14 550 000〒,"Турксибский р-н, Котельникова 8/1ИпотекаИпотекаКвартиры, которые можноприобрести в ипотекуот банков и по гос.программам",Алматы29 нояб.,"жил. комплекс Котельникова, 5 этажей, 2021 г.п., жил. площадь 34.6 кв.м., кухня 7.2 кв.м., потолки 2.8м., санузел совмещенный, Преимущества: ✅Есть возможность приобретения в ипотеку через ЖССБ.✅Озеленение территории ✅Игров…"
"2-комнатная квартира, 58.5 м², 3/5 этажВсе заметкиУдалить",https://krisha.kz//a/show/663178404,20 000 000〒,"Турксибский р-н, мкр Жулдыз-1 1б",Алматы29 нояб.,"панельный дом, 1989 г.п., состояние: хорошее, жил. площадь 35.2 кв.м., кухня 8.7 кв.м., потолки 2.8м., санузел раздельный, телефон: отдельный, полностью меблирована, Продается 2-х комнатная квартира, светлая, стены утеплены, тихий район, поликлиника, магазины, остановка транспорта, облагороженн…"
"2-комнатная квартира, 64 м², 1/5 этажВсе заметкиУдалить",https://krisha.kz//a/show/29265935,18 500 000〒,"Турксибский р-н, мкр Жулдыз-2, Жулдыз 2 39",Алматы29 нояб.,"панельный дом, 1993 г.п., состояние: хорошее, телефон: отдельный, интернет проводной, частично меблирована, ПОСЛЕ КАП. РЕМОНТА. Просторная, светлая, очень теплая 2-х комнатная квартира в панельном доме на 1-м этаже с двумя полесадниками. Улучшенная планировка. Большие квадратные комнаты с…"
"2-комнатная квартира, 45 м², 1/2 этажВсе заметкиУдалить",https://krisha.kz//a/show/663498747,11 000 000〒,"Турксибский р-н, Кассина — Котельникова",Алматы29 нояб.,"1960 г.п., состояние: хорошее, потолки 2.5м., полностью меблирована, Продается двух комнатная квартира в хорошем состоянии. в тихом районе, рядом базарчик, магнум итд. Район мех. комбината. Ждем Ваши предложения!"
"2-комнатная квартира, 40 м², 2/2 этажВсе заметкиУдалить",https://krisha.kz//a/show/57594247,10 000 000〒,"Турксибский р-н, мкр Алтай-2, Соболева — Захорова",Алматы29 нояб.,"1961 г.п., состояние: евроремонт, жил. площадь 36 кв.м., кухня 5 кв.м., потолки 2.5м., санузел раздельный, телефон: есть возможность подключения, интернет оптика, частично меблирована, Продам квартиру теплая и уютная квартира в хорошем состоянии спокойные соседи тихий двор школа и садик в ш…"
